"Concentration","Response","Compound"
"10",568477,"cADPR"
"10",533163,"cADPR"
"10",574071,"cADPR"
"20",1051406,"cADPR"
"20",1018925,"cADPR"
"20",1044418,"cADPR"
"50",2485980,"cADPR"
"50",2457185,"cADPR"
"50",2468598,"cADPR"
"100",4901734,"cADPR"
"100",5032664,"cADPR"
"100",4989245,"cADPR"
"500",23866146,"cADPR"
"500",24081463,"cADPR"
"500",23876834,"cADPR"
"1000",47305859,"cADPR"
"1000",46845781,"cADPR"
"1000",46344598,"cADPR"
"2000",91286503,"cADPR"
"2000",91282032,"cADPR"
"2000",92122209,"cADPR"
"unknown",5467548,"cADPR"
"unknown",5313899,"cADPR"
"unknown",31404324,"cADPR"
"unknown",32338778,"cADPR"
"10",710094,"ADPR"
"10",630189,"ADPR"
"10",567548,"ADPR"
"20",1078905,"ADPR"
"20",1073452,"ADPR"
"20",971648,"ADPR"
"50",2407685,"ADPR"
"50",2371900,"ADPR"
"50",2381883,"ADPR"
"100",4855453,"ADPR"
"100",4666714,"ADPR"
"100",4538464,"ADPR"
"500",23449685,"ADPR"
"500",23116310,"ADPR"
"500",23110198,"ADPR"
"1000",47204639,"ADPR"
"1000",46588593,"ADPR"
"1000",43486110,"ADPR"
"2000",82138732,"ADPR"
"2000",86759595,"ADPR"
"2000",86379303,"ADPR"
"unknown",24700483,"ADPR"
"unknown",25752020,"ADPR"
"10",199691,"NADPH"
"10",167840,"NADPH"
"10",196156,"NADPH"
"20",400679,"NADPH"
"20",373425,"NADPH"
"20",383357,"NADPH"
"50",949307,"NADPH"
"50",866828,"NADPH"
"50",937591,"NADPH"
"100",2001193,"NADPH"
"100",2041641,"NADPH"
"100",1914963,"NADPH"
"500",9772084,"NADPH"
"500",9841388,"NADPH"
"500",9509458,"NADPH"
"1000",19671916,"NADPH"
"1000",19453015,"NADPH"
"1000",19638279,"NADPH"
"2000",35383387,"NADPH"
"2000",37567896,"NADPH"
"2000",39118705,"NADPH"
"unknown",8072427,"NADPH"
"unknown",7339785,"NADPH"
"10",344790,"NADP"
"10",276865,"NADP"
"10",249511,"NADP"
"20",351705,"NADP"
"20",279697,"NADP"
"20",375855,"NADP"
"50",664113,"NADP"
"50",763553,"NADP"
"50",784105,"NADP"
"100",1433173,"NADP"
"100",1235372,"NADP"
"100",1350770,"NADP"
"500",6464115,"NADP"
"500",6527561,"NADP"
"500",6745161,"NADP"
"1000",13125978,"NADP"
"1000",13165260,"NADP"
"1000",13387051,"NADP"
"2000",25457050,"NADP"
"2000",26002460,"NADP"
"2000",25214148,"NADP"
"unknown",906896,"NADP"
"unknown",673373,"NADP"
"unknown",12167464,"NADP"
"unknown",11667120,"NADP"
"10",1204332,"ADP"
"10",969946,"ADP"
"10",1381706,"ADP"
"20",1383193,"ADP"
"20",1347393,"ADP"
"20",1672022,"ADP"
"50",2889230,"ADP"
"50",2915619,"ADP"
"50",3152886,"ADP"
"100",5834404,"ADP"
"100",5733627,"ADP"
"100",5934473,"ADP"
"500",27574326,"ADP"
"500",27960479,"ADP"
"500",28909800,"ADP"
"1000",58098010,"ADP"
"1000",57772208,"ADP"
"1000",59345548,"ADP"
"2000",117697970,"ADP"
"2000",114417587,"ADP"
"2000",120808336,"ADP"
"unknown",38607618,"ADP"
"unknown",39231389,"ADP"
"10",111134,"Malonyl CoA"
"10",107619,"Malonyl CoA"
"10",113416,"Malonyl CoA"
"20",232465,"Malonyl CoA"
"20",241907,"Malonyl CoA"
"20",229164,"Malonyl CoA"
"50",581823,"Malonyl CoA"
"50",561640,"Malonyl CoA"
"50",555647,"Malonyl CoA"
"100",1136059,"Malonyl CoA"
"100",1187043,"Malonyl CoA"
"100",1149248,"Malonyl CoA"
"500",6242914,"Malonyl CoA"
"500",6242127,"Malonyl CoA"
"500",5848914,"Malonyl CoA"
"1000",12663185,"Malonyl CoA"
"1000",11934988,"Malonyl CoA"
"1000",12204949,"Malonyl CoA"
"2000",26203247,"Malonyl CoA"
"2000",24270664,"Malonyl CoA"
"2000",25354129,"Malonyl CoA"
"unknown",5237085,"Malonyl CoA"
"unknown",5545637,"Malonyl CoA"
